feature,model,importance_mean,m.z,Retention.Time,Adduct,Putative.Chemical.Class,HMDB,KEGG,Compound.Name
C18-neg_Cluster_2037: NA,SVM,84.46513576297652,595.338157,6.513427,NA,Triterpenoids,NA,NA,NA
C18-neg_Cluster_2083: NA,SVM,83.69720857610726,609.328523,7.94076,NA,Benzopyrans,NA,NA,NA
C18-neg_Cluster_2096: NA,SVM,84.02014547393276,611.344701,7.76058,NA,Steroid glucuronide conjugates,NA,NA,NA
C18-neg_Cluster_2109: NA,SVM,83.10027038348757,617.330994,9.199897,NA,Tetrapyrroles and derivatives,NA,NA,NA
C18-neg_Cluster_2149: NA,SVM,85.08968353707301,629.308677,6.510296,NA,Terpene lactones,NA,NA,NA
HILIC-pos_Cluster_0155: NA,SVM,91.2184393922084,147.046952,4.417717,NA,Monothioacetals,NA,NA,NA
HILIC-pos_Cluster_0242: NA,SVM,90.63559160668724,165.057588,4.418035,NA,Pteridines and derivatives,NA,NA,NA
HILIC-pos_Cluster_0276: NA,SVM,84.06374957157546,172.059871,4.509523,NA,Alpha amino acids and derivatives,NA,NA,NA
HILIC-pos_Cluster_2090: NA,SVM,87.06938573441488,595.318635,6.419995,NA,NA,NA,NA,NA
HILIC-pos_Cluster_2091: NA,SVM,83.19909364408394,595.344984,1.935026,NA,Diphenylmethanes,NA,NA,NA
HILIC-pos_Cluster_2153: NA,SVM,82.2691267755817,617.327898,6.423919,NA,Tetrapyrroles and derivatives,NA,NA,NA
